Country Name,Income Group,Region,Expected number of clubfoot cases
Afghanistan,Low income,South Asia,1742.184951
Argentina,Upper middle income,Latin America & Caribbean,794.7740039
Bangladesh,Lower middle income,South Asia,3747.838531
Benin,Lower middle income,Sub-Saharan Africa,581.8537151
Bolivia,Lower middle income,Latin America & Caribbean,326.4473464
Brazil,Upper middle income,Latin America & Caribbean,3457.344767
Burkina Faso,Low income,Sub-Saharan Africa,963.0385094
Burundi,Low income,Sub-Saharan Africa,539.4951599
Cambodia,Lower middle income,East Asia & Pacific,403.5719799
Cameroon,Lower middle income,Sub-Saharan Africa,1166.367592
"Congo, Dem. Rep.",Low income,Sub-Saharan Africa,4871.600675
"Congo, Rep.",Lower middle income,Sub-Saharan Africa,220.2875264
Dominican Republic,Upper middle income,Latin America & Caribbean,256.1513755
Ecuador,Upper middle income,Latin America & Caribbean,371.5745473
"Egypt, Arab Rep.",Lower middle income,Middle East & North Africa,3071.701717
El Salvador,Lower middle income,Latin America & Caribbean,126.3147445
Eritrea,Low income,Sub-Saharan Africa,126.572686
Ethiopia,Low income,Sub-Saharan Africa,4763.482398
"Gambia, The",Low income,Sub-Saharan Africa,107.6227464
Ghana,Lower middle income,Sub-Saharan Africa,1118.819863
Guatemala,Upper middle income,Latin America & Caribbean,456.048927
Guinea,Low income,Sub-Saharan Africa,572.1866744
Guinea-Bissau,Low income,Sub-Saharan Africa,79.00070249
Haiti,Lower middle income,Latin America & Caribbean,335.59309
Honduras,Lower middle income,Latin America & Caribbean,268.0012066
India,Lower middle income,South Asia,28694.75006
Indonesia,Lower middle income,East Asia & Pacific,5612.442545
Iraq,Upper middle income,Middle East & North Africa,1463.435948
Kenya,Lower middle income,Sub-Saharan Africa,1804.817357
Lebanon,Lower middle income,Middle East & North Africa,107.6616799
Liberia,Low income,Sub-Saharan Africa,200.0332207
Madagascar,Low income,Sub-Saharan Africa,1096.980536
Malawi,Low income,Sub-Saharan Africa,798.5077566
Mali,Low income,Sub-Saharan Africa,1105.216414
Mexico,Upper middle income,Latin America & Caribbean,2431.842828
Morocco,Lower middle income,Middle East & North Africa,813.8435485
Mozambique,Low income,Sub-Saharan Africa,1429.452419
Myanmar,Lower middle income,East Asia & Pacific,1150.207864
Nepal,Lower middle income,South Asia,751.13702
Nicaragua,Lower middle income,Latin America & Caribbean,175.1109067
Niger,Low income,Sub-Saharan Africa,1375.559199
Nigeria,Lower middle income,Sub-Saharan Africa,9678.699575
Pakistan,Lower middle income,South Asia,7878.973957
Papua New Guinea,Lower middle income,East Asia & Pacific,314.2800354
Paraguay,Upper middle income,Latin America & Caribbean,171.90763
Peru,Upper middle income,Latin America & Caribbean,736.465405
Philippines,Lower middle income,East Asia & Pacific,3065.995408
Rwanda,Low income,Sub-Saharan Africa,494.0818265
Senegal,Lower middle income,Sub-Saharan Africa,673.2589772
Somalia,Low income,Sub-Saharan Africa,902.4031343
South Africa,Upper middle income,Sub-Saharan Africa,1482.057881
Sri Lanka,Lower middle income,South Asia,386.9010366
Sudan,Low income,Sub-Saharan Africa,1886.064892
Tajikistan,Lower middle income,Europe & Central Asia,325.778366
Tanzania,Lower middle income,Sub-Saharan Africa,2804.300039
Thailand,Upper middle income,East Asia & Pacific,813.7990381
Togo,Low income,Sub-Saharan Africa,338.1631518
Uganda,Low income,Sub-Saharan Africa,2051.159106
Uzbekistan,Lower middle income,Europe & Central Asia,1044.214453
West Bank and Gaza,Lower middle income,Middle East & North Africa,171.5343425
"Yemen, Rep.",Low income,Middle East & North Africa,1251.086847
Zambia,Low income,Sub-Saharan Africa,820.3597238
Zimbabwe,Lower middle income,Sub-Saharan Africa,602.5168345
Sierra Leone,Low income,Sub-Saharan Africa,325.845859
South Sudan,Low income,Sub-Saharan Africa,383.5831087
