Country Name,Income Group,Region,Total new children treated,0-1 years,1-2 years,2-3 years,3-4 years,4-5 years,5-10 years,10-15 years,15+ years,number children started 1yr FAB,number of children completed 2 years FAB
Afghanistan,Low income,South Asia,858,515,148,51,35,16,46,18,29,157,711
Bangladesh,Lower middle income,South Asia,2258,2214,38,5,1,0,0,0,0,2242,1598
Benin,Low income,Sub-Saharan Africa,25,19,6,0,0,0,0,0,0,15,0
Bolivia,Lower middle income,Latin America & Caribbean,25,7,15,3,0,0,6,3,2,10,2
Brazil,Upper middle income,Latin America & Caribbean,14,13,1,0,0,0,0,0,0,14,16
Burkina Faso,Low income,Sub-Saharan Africa,148,111,37,0,0,0,0,0,0,129,0
Burundi,Low income,Sub-Saharan Africa,547,521,22,4,0,0,0,0,0,579,0
Cambodia,Lower middle income,East Asia & Pacific,209,147,14,13,12,6,13,2,2,106,17
Cameroon,Lower middle income,Sub-Saharan Africa,212,0,0,0,0,0,0,0,0,0,0
"Congo, Dem. Rep.",Low income,Sub-Saharan Africa,879,816,63,0,0,0,0,0,0,854,906
"Congo, Rep.",Lower middle income,Sub-Saharan Africa,106,54,26,10,3,6,5,2,0,100,22
Dominican Republic,Upper middle income,Latin America & Caribbean,188,163,14,3,2,1,4,0,1,124,21
Ecuador,Upper middle income,Latin America & Caribbean,134,80,18,13,7,6,8,2,0,20,0
"Egypt, Arab Rep.",Lower middle income,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,Low income,Sub-Saharan Africa,1753,1461,292,0,0,0,0,0,0,1331,0
"Gambia, The",Low income,Sub-Saharan Africa,100,46,26,10,10,0,7,0,0,45,0
Georgia,Upper middle income,Europe & Central Asia,156,82,27,30,11,6,0,0,0,115,87
Ghana,Lower middle income,Sub-Saharan Africa,210,155,55,0,0,0,0,0,0,132,0
Guatemala,Upper middle income,Latin America & Caribbean,59,69,5,9,4,6,7,4,1,94,25
Guinea,Low income,Sub-Saharan Africa,19,10,4,1,2,2,1,1,0,15,15
Haiti,Low income,Latin America & Caribbean,116,101,15,0,0,0,0,0,0,97,12
Honduras,Lower middle income,Latin America & Caribbean,88,67,21,0,0,0,0,0,0,51,0
India,Lower middle income,South Asia,12802,0,0,0,0,0,0,0,0,8990,0
Indonesia,Lower middle income,East Asia & Pacific,36,9,6,4,2,0,6,2,0,17,4
"Iran, Islamic Rep.",Upper middle income,Middle East & North Africa,15,7,8,0,0,0,0,0,0,0,0
Iraq,Upper middle income,Middle East & North Africa,169,0,0,0,0,0,0,0,0,0,0
Kenya,Lower middle income,Sub-Saharan Africa,1001,922,75,0,0,0,0,0,0,812,0
Lebanon,Upper middle income,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0
Liberia,Low income,Sub-Saharan Africa,365,208,27,9,2,5,14,3,1,209,0
Madagascar,Low income,Sub-Saharan Africa,363,231,40,9,8,3,19,53,0,363,53
Malawi,Low income,Sub-Saharan Africa,373,349,24,0,0,0,0,0,0,0,277
Mali,Low income,Sub-Saharan Africa,140,0,0,0,0,0,0,0,0,0,0
Mexico,Upper middle income,Latin America & Caribbean,60,50,10,0,0,0,0,0,0,50,100
Morocco,Lower middle income,Middle East & North Africa,56,50,3,0,3,0,0,0,0,0,0
Mozambique,Low income,Sub-Saharan Africa,484,455,29,0,0,0,0,0,0,615,0
Myanmar,Lower middle income,East Asia & Pacific,328,261,27,15,6,6,9,1,0,200,25
Nepal,Low income,South Asia,560,0,0,0,0,0,0,0,0,370,0
Nicaragua,Lower middle income,Latin America & Caribbean,127,78,9,10,6,6,10,7,0,30,0
Niger,Low income,Sub-Saharan Africa,251,215,36,0,0,0,0,0,0,186,0
Nigeria,Lower middle income,Sub-Saharan Africa,260,90,66,52,27,15,10,0,0,198,0
Pakistan,Lower middle income,South Asia,875,0,0,0,0,0,0,0,0,1979,0
Papua New Guinea,Lower middle income,East Asia & Pacific,47,26,9,4,4,2,2,0,0,47,0
Paraguay,Upper middle income,Latin America & Caribbean,200,139,23,14,7,12,9,4,1,157,57
Russian Federation,Upper middle income,Europe & Central Asia,150,60,20,20,15,15,10,10,0,60,60
Rwanda,Low income,Sub-Saharan Africa,425,377,48,0,0,0,0,0,0,314,0
Senegal,Lower middle income,Sub-Saharan Africa,48,29,4,2,4,1,2,0,0,28,0
Sierra Leone,Low income,Sub-Saharan Africa,154,118,36,0,0,0,0,0,0,60,209
Solomon Islands,Lower middle income,East Asia & Pacific,24,24,0,0,0,0,0,0,0,20,10
Somalia,Low income,Sub-Saharan Africa,93,72,11,9,5,1,2,0,1,93,0
South Africa,Upper middle income,Sub-Saharan Africa,700,0,0,0,0,0,0,0,0,0,0
South Sudan,Low income,Sub-Saharan Africa,29,11,8,4,0,1,3,1,0,25,10
Sri Lanka,Upper middle income,South Asia,395,303,35,17,9,6,12,2,0,238,189
Syrian Arab Republic,Low income,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0
Tanzania,Low income,Sub-Saharan Africa,1562,1079,85,44,31,13,37,16,7,166,166
Togo,Low income,Sub-Saharan Africa,66,53,13,0,0,0,0,0,0,58,0
Uganda,Low income,Sub-Saharan Africa,642,593,48,23,9,7,4,0,0,493,34
Zambia,Lower middle income,Sub-Saharan Africa,257,241,16,0,0,0,0,0,0,209,0
Philippines,Lower middle income,East Asia & Pacific,762,478,104,29,29,15,46,12,7,489,45
Zimbabwe,Lower middle income,Sub-Saharan Africa,327,294,33,0,0,0,0,0,0,178,0
Eritrea,Low income,Sub-Saharan Africa,79,71,2,2,0,1,0,0,0,66,69
